time,speed_of_mean,mean_of_speed
2024-01-01,3.964068881900377,5.187567
2024-01-02,10.017836468934972,11.389193
2024-01-03,17.007922640257533,18.221333
2024-01-04,17.442791066508146,18.155514
2024-01-05,14.788787855235192,15.138635
2024-01-06,16.441213163645568,16.74075
2024-01-07,22.054414293696347,22.388538
2024-01-08,25.84085828409362,26.404268
2024-01-09,23.42145355454936,23.937555
2024-01-10,16.47053291755631,17.078432
2024-01-11,16.340744256034487,17.121565
2024-01-12,21.77979481701811,22.868471
2024-01-13,20.459691296918663,21.876513
2024-01-14,18.80518379874745,20.993486
2024-01-15,21.77204190303863,22.396223
2024-01-16,8.525337878947044,11.165879
2024-01-17,6.527147521944085,7.327893
2024-01-18,8.541911899681942,9.527689
2024-01-19,15.207789697463758,15.81141
2024-01-20,15.04743614969866,15.632505
2024-01-21,10.118182774716715,10.438308
2024-01-22,0.9058341333580733,2.8051393
2024-01-23,5.462325431804443,5.664265
2024-01-24,11.192953869446,11.361747
2024-01-25,8.636827121778516,8.834603
2024-01-26,6.46189801448419,6.598186
2024-01-27,0.8500817191408944,3.3450408
2024-01-28,4.937820253301571,5.2781196
2024-01-29,14.205648702465927,14.510097
2024-01-30,21.340356810064275,21.514133
